Serial Number,Hostname,Mgmt IP,
PE3714080640,backroom-switch-02,192.168.9.11,
,,,
Port,VLAN,Port Type,Description
ge-0/0/0,VL10_Desktops,Access,
ge-0/0/1,VL10_Desktops,Access,
ge-0/0/2,VL10_Desktops,Access,
ge-0/0/3,VL10_Desktops,Access,
ge-0/0/4,VL10_Desktops,Access,
ge-0/0/5,VL10_Desktops,Access,
ge-0/0/6,VL10_Desktops,Access,
ge-0/0/7,VL10_Desktops,Access,
ge-0/0/8,VL10_Desktops,Access,
ge-0/0/9,VL10_Desktops,Access,
ge-0/0/10,VL10_Desktops,Access,
ge-0/0/11,VL10_Desktops,Access,
ge-0/0/12,VL10_Desktops,Access,
ge-0/0/13,VL10_Desktops,Access,
ge-0/0/14,VL10_Desktops,Access,
ge-0/0/15,VL10_Desktops,Access,
ge-0/0/16,VL10_Desktops,Access,
ge-0/0/17,VL10_Desktops,Access,
ge-0/0/18,VL10_Desktops,Access,
ge-0/0/19,VL10_Desktops,Access,
ge-0/0/20,VL10_Desktops,Access,
ge-0/0/21,VL10_Desktops,Access,
ge-0/0/22,VL10_Desktops,Access,
ge-0/0/23,VL10_Desktops,Access,
ge-0/0/24,VL20_Printers,Access,
ge-0/0/25,VL20_Printers,Access,
ge-0/0/26,VL20_Printers,Access,
ge-0/0/27,VL20_Printers,Access,
ge-0/0/28,VL20_Printers,Access,
ge-0/0/29,VL20_Printers,Access,
ge-0/0/30,VL20_Printers,Access,
ge-0/0/31,VL20_Printers,Access,
ge-0/0/32,VL20_Printers,Access,
ge-0/0/33,VL20_Printers,Access,
ge-0/0/34,VL20_Printers,Access,
ge-0/0/35,VL20_Printers,Access,
ge-0/0/36,VL20_Printers,Access,
ge-0/0/37,VL20_Printers,Access,
ge-0/0/38,VL20_Printers,Access,
ge-0/0/39,VL20_Printers,Access,
ge-0/0/40,VL20_Printers,Access,
ge-0/0/41,VL20_Printers,Access,
ge-0/0/42,VL20_Printers,Access,
ge-0/0/43,VL20_Printers,Access,
ge-0/0/44,VL50_APMgmt,Access,AP in Courtyard
ge-0/0/45,VL50_APMgmt,Access,AP in Boardroom
ge-0/0/46,all,Trunk,Uplink Port
ge-0/0/47,all,Trunk,Uplink Port
